#parameter:Czz10
#unit:cm2/Hz
#date:20231010
#sensor:height
#Time in ms since start of day
0,0.00,0.17,0.70,2.14,3.95,3.52,9.60,9.69,6.77,9.42,14.38,20.16,25.89,50.75,42.51,78.69,95.29,78.46,63.13,76.81,59.84,56.14,44.25,72.26,49.13,60.02,56.08,47.64,20.11,37.73,33.03,28.74,21.91,37.54,36.28,51.23,77.91,73.85,55.08,46.21,27.60,37.09,25.37,26.97,24.89,19.70,35.17,37.40,33.62,30.76,74.46
60000,0.00,0.22,0.57,1.94,3.26,7.23,7.74,9.29,7.55,7.21,8.62,17.71,36.21,55.84,38.88,60.28,94.89,64.92,69.98,78.27,51.31,61.62,46.59,44.11,31.52,48.26,50.09,42.62,34.79,27.13,34.65,36.25,25.62,44.17,53.97,51.85,94.31,75.75,63.18,59.33,38.43,19.63,25.25,27.26,33.76,30.05,30.58,36.32,37.49,26.74,69.49
120000,0.00,0.28,1.70,3.60,5.27,5.49,8.88,8.40,9.58,5.10,9.43,21.47,46.14,53.46,53.59,74.03,85.37,47.16,69.84,95.04,82.82,42.14,74.55,53.34,50.95,40.00,52.15,48.71,29.73,32.25,33.17,25.78,20.14,28.49,39.31,52.40,67.85,80.57,50.05,49.47,25.69,34.07,27.26,28.03,26.33,18.38,23.10,43.87,39.63,26.02,67.70
180000,0.00,0.15,0.36,1.58,5.13,10.33,6.21,6.67,4.68,6.80,14.39,26.22,18.59,69.76,47.56,85.00,82.66,49.56,71.02,97.50,64.10,50.59,60.51,44.19,38.72,39.32,54.20,48.27,23.75,35.19,33.65,36.14,23.72,37.14,38.78,34.39,68.27,80.50,59.04,59.55,47.01,30.69,31.70,28.18,31.53,23.21,32.16,36.44,27.87,28.63,62.37
240000,0.00,0.41,1.66,2.61,5.07,8.37,12.30,10.36,10.06,10.27,11.52,22.60,33.61,74.40,45.44,102.56,77.49,49.89,76.44,51.94,55.69,63.91,33.33,54.48,44.02,52.31,47.72,41.65,42.64,49.77,33.65,43.26,24.16,30.33,41.89,35.95,68.91,69.66,74.30,55.73,31.49,21.41,36.15,33.02,25.41,28.62,49.77,39.07,32.76,38.57,66.53
300000,0.00,0.15,0.87,1.83,4.09,5.54,9.35,11.10,6.43,8.69,13.45,16.87,36.91,57.81,62.95,74.64,72.44,41.83,60.47,77.29,73.85,61.44,79.49,76.37,53.50,40.71,31.59,31.07,31.74,32.63,27.50,21.96,17.42,27.27,38.57,31.04,51.45,66.65,51.77,40.22,31.06,31.17,34.37,37.47,34.81,20.35,32.09,49.19,37.07,48.20,80.06
360000,0.00,0.19,0.39,1.70,4.35,5.33,7.99,8.94,7.03,7.82,10.51,20.87,26.66,62.90,43.61,82.28,67.85,57.20,71.42,77.86,64.27,62.08,76.79,56.65,36.43,21.31,31.17,46.51,30.48,34.51,27.78,26.86,20.78,46.60,38.24,39.17,57.83,69.81,68.90,70.03,35.41,19.42,28.77,23.02,28.18,19.18,36.24,31.14,36.40,42.24,102.58
420000,0.00,0.36,1.43,3.64,7.75,6.35,10.17,7.44,15.35,10.37,8.15,21.41,31.06,73.47,42.25,82.25,64.36,53.96,79.08,65.76,83.51,53.83,43.46,62.32,39.36,29.56,40.65,35.44,28.14,32.70,22.09,27.51,24.10,26.97,28.57,33.14,47.00,42.64,59.39,53.85,35.02,27.74,35.11,41.48,34.02,23.99,33.02,41.90,40.40,37.23,94.52
480000,0.00,0.15,0.67,2.46,8.15,9.24,9.38,5.97,8.88,7.48,10.94,21.73,26.39,61.28,73.94,82.47,51.96,41.31,69.22,80.32,52.17,58.42,57.54,48.49,41.54,29.65,43.54,44.64,25.09,31.07,31.54,26.90,22.66,28.62,39.66,28.64,48.05,71.98,70.47,54.37,33.55,38.53,35.21,32.44,25.65,16.18,26.12,31.32,32.23,39.37,72.85
540000,0.00,0.44,1.55,2.39,4.82,8.39,10.54,8.48,13.15,9.63,10.88,21.15,38.70,74.54,56.71,93.33,60.09,65.26,66.44,63.61,97.46,47.19,55.54,39.16,50.99,31.61,51.58,45.54,38.67,31.16,25.89,35.96,33.36,36.90,40.76,30.03,51.02,65.30,74.93,71.62,37.53,23.60,37.15,26.88,14.41,24.51,26.23,41.93,62.92,43.90,90.64
600000,0.00,0.07,0.87,2.73,5.01,5.09,9.95,8.84,7.49,11.25,14.94,14.04,25.72,75.50,62.02,95.80,74.33,54.33,79.66,84.82,79.19,62.02,57.17,65.95,47.66,39.52,38.32,44.71,44.34,46.64,15.63,21.50,19.96,33.32,36.67,36.81,41.35,52.01,73.94,56.01,35.64,42.53,48.45,43.29,29.30,27.87,29.52,38.46,55.98,39.50,55.06
660000,0.00,0.09,0.75,2.04,3.92,6.78,7.37,7.87,8.25,9.58,9.75,23.33,45.50,73.32,70.24,78.84,66.56,72.34,81.98,64.09,73.04,81.43,51.47,44.73,30.77,33.22,28.88,47.74,55.57,36.56,18.58,41.29,34.80,44.04,44.97,37.24,56.07,64.77,69.51,55.33,40.85,33.33,45.67,48.58,28.45,18.83,32.83,37.72,49.82,39.76,59.89
720000,0.00,0.30,1.65,3.43,6.46,5.76,8.30,10.01,15.47,10.56,11.29,15.08,52.01,66.55,80.58,77.20,56.04,67.05,89.22,75.23,96.66,41.70,74.70,45.77,55.02,34.00,46.52,41.41,41.35,28.46,18.29,22.63,22.80,33.40,34.95,38.46,50.12,54.99,69.63,66.16,36.35,28.57,47.20,31.76,30.58,26.44,35.73,43.92,51.45,45.42,70.72
