Time	heave [m]	DQF [-]	FQF [-]
2023-10-10T00:00:08.959Z	0.4199	1011111110000000	1
2023-10-10T00:00:09.057Z	0.4242	1011111110000000	1
2023-10-10T00:00:09.158Z	0.4015	1011111110000000	1
2023-10-10T00:00:09.259Z	0.3827	1011111110000000	1
2023-10-10T00:00:09.362Z	0.3777	1011111110000000	1
2023-10-10T00:00:09.464Z	0.3789	1011111110000000	1
2023-10-10T00:00:09.566Z	0.4121	1011111110000000	1
2023-10-10T00:00:09.664Z	0.4144	1011111110000000	1
2023-10-10T00:00:09.761Z	0.3981	1011111110000000	1
2023-10-10T00:00:09.859Z	0.4435	1011111110000000	1
2023-10-10T00:00:09.957Z	0.4584	1011111110000000	1
2023-10-10T00:00:10.058Z	0.4642	1011111110000000	1
2023-10-10T00:00:10.159Z	0.4791	1011111110000000	1
2023-10-10T00:00:10.262Z	0.5065	1011111110000000	1
2023-10-10T00:00:10.365Z	0.4937	1011111110000000	1
2023-10-10T00:00:10.466Z	0.5764	1011111110000000	1
2023-10-10T00:00:10.566Z	0.5815	1011111110000000	1
2023-10-10T00:00:10.663Z	0.5610	1011111110000000	1
2023-10-10T00:00:10.760Z	0.5825	1011111110000000	1
2023-10-10T00:00:10.858Z	0.5257	1011111110000000	1
2023-10-10T00:00:10.956Z	0.4889	1011111110000000	1
2023-10-10T00:00:11.057Z	0.4585	1011111110000000	1
2023-10-10T00:00:11.159Z	0.4499	1011111110000000	1
2023-10-10T00:00:11.262Z	0.3693	1011111110000000	1
2023-10-10T00:00:11.365Z	0.3831	1011111110000000	1
2023-10-10T00:00:11.466Z	0.3482	1011111110000000	1
2023-10-10T00:00:11.564Z	0.3041	1011111110000000	1
2023-10-10T00:00:11.661Z	0.3211	1011111110000000	1
2023-10-10T00:00:11.759Z	0.3670	1011111110000000	1
2023-10-10T00:00:11.857Z	0.3253	1011111110000000	1
2023-10-10T00:00:11.958Z	0.4511	1011111110000000	1
2023-10-10T00:00:12.061Z	0.4217	1011111110000000	1
2023-10-10T00:00:12.163Z	0.4049	1011111110000000	1
2023-10-10T00:00:12.265Z	0.4560	1011111110000000	1
2023-10-10T00:00:12.364Z	0.5396	1011111110000000	1
2023-10-10T00:00:12.463Z	0.3967	1011111110000000	1
2023-10-10T00:00:12.560Z	0.4672	1011111110000000	1
2023-10-10T00:00:12.658Z	0.3851	1011111110000000	1
2023-10-10T00:00:12.756Z	0.4330	1011111110000000	1
2023-10-10T00:00:12.857Z	0.5053	1011111110000000	1
2023-10-10T00:00:12.958Z	0.4465	1011111110000000	1
2023-10-10T00:00:13.061Z	0.4141	1011111110000000	1
2023-10-10T00:00:13.164Z	0.4145	1011111110000000	1
2023-10-10T00:00:13.264Z	0.4146	1011111110000000	1
2023-10-10T00:00:13.363Z	0.5232	1011111110000000	1
2023-10-10T00:00:13.460Z	0.4675	1011111110000000	1
2023-10-10T00:00:13.558Z	0.5195	1011111110000000	1
2023-10-10T00:00:13.656Z	0.4403	1011111110000000	1
2023-10-10T00:00:13.757Z	0.4179	1011111110000000	1
2023-10-10T00:00:13.858Z	0.4621	1011111110000000	1
2023-10-10T00:00:13.960Z	0.4710	1011111110000000	1
2023-10-10T00:00:14.061Z	0.4522	1011111110000000	1
2023-10-10T00:00:14.163Z	0.4262	1011111110000000	1
2023-10-10T00:00:14.263Z	0.4704	1011111110000000	1
2023-10-10T00:00:14.362Z	0.4575	1011111110000000	1
2023-10-10T00:00:14.460Z	0.4905	1011111110000000	1
2023-10-10T00:00:14.557Z	0.4534	1011111110000000	1
2023-10-10T00:00:14.657Z	0.5316	1011111110000000	1
2023-10-10T00:00:14.758Z	0.3940	1011111110000000	1
2023-10-10T00:00:14.861Z	0.5044	1011111110000000	1
2023-10-10T00:00:14.964Z	0.5204	1011111110000000	1
2023-10-10T00:00:15.065Z	0.4721	1011111110000000	1
2023-10-10T00:00:15.164Z	0.4771	1011111110000000	1
2023-10-10T00:00:15.262Z	0.4600	1011111110000000	1
2023-10-10T00:00:15.359Z	0.4962	1011111110000000	1
2023-10-10T00:00:15.457Z	0.4725	1011111110000000	1
2023-10-10T00:00:15.556Z	0.4754	1011111110000000	1
2023-10-10T00:00:15.658Z	0.4571	1011111110000000	1
2023-10-10T00:00:15.760Z	0.4576	1011111110000000	1
2023-10-10T00:00:15.863Z	0.5074	1011111110000000	1
2023-10-10T00:00:15.965Z	0.5174	1011111110000000	1
2023-10-10T00:00:16.064Z	0.4901	1011111110000000	1
2023-10-10T00:00:16.163Z	0.5226	1011111110000000	1
2023-10-10T00:00:16.260Z	0.4957	1011111110000000	1
2023-10-10T00:00:16.358Z	0.4889	1011111110000000	1
2023-10-10T00:00:16.456Z	0.4572	1011111110000000	1
2023-10-10T00:00:16.557Z	0.4318	1011111110000000	1
2023-10-10T00:00:16.658Z	0.4403	1011111110000000	1
2023-10-10T00:00:16.761Z	0.4157	1011111110000000	1
2023-10-10T00:00:16.863Z	0.3924	1011111110000000	1
2023-10-10T00:00:16.965Z	0.4119	1011111110000000	1
2023-10-10T00:00:17.065Z	0.3365	1011111110000000	1
2023-10-10T00:00:17.162Z	0.3718	1011111110000000	1
2023-10-10T00:00:17.260Z	0.3636	1011111110000000	1
2023-10-10T00:00:17.357Z	0.3452	1011111110000000	1
2023-10-10T00:00:17.456Z	0.4143	1011111110000000	1
2023-10-10T00:00:17.558Z	0.4146	1011111110000000	1
2023-10-10T00:00:17.663Z	0.5281	1011111110000000	1
2023-10-10T00:00:17.763Z	0.4919	1011111110000000	1
2023-10-10T00:00:17.866Z	0.4755	1011111110000000	1
2023-10-10T00:00:17.964Z	0.4364	1011111110000000	1
2023-10-10T00:00:18.062Z	0.4419	1011111110000000	1
2023-10-10T00:00:18.159Z	0.5403	1011111110000000	1
2023-10-10T00:00:18.257Z	0.5804	1011111110000000	1
2023-10-10T00:00:18.357Z	0.5718	1011111110000000	1
2023-10-10T00:00:18.458Z	0.5905	1011111110000000	1
2023-10-10T00:00:18.561Z	0.5439	1011111110000000	1
2023-10-10T00:00:18.663Z	0.5083	1011111110000000	1
2023-10-10T00:00:18.765Z	0.5028	1011111110000000	1
2023-10-10T00:00:18.865Z	0.5113	1011111110000000	1
2023-10-10T00:00:18.962Z	0.5036	1011111110000000	1
2023-10-10T00:00:19.058Z	0.4730	1011111110000000	1
2023-10-10T00:00:19.158Z	0.4258	1011111110000000	1
2023-10-10T00:00:19.259Z	0.4098	1011111110000000	1
2023-10-10T00:00:19.362Z	0.4034	1011111110000000	1
2023-10-10T00:00:19.465Z	0.3355	1011111110000000	1
2023-10-10T00:00:19.565Z	0.3457	1011111110000000	1
2023-10-10T00:00:19.663Z	0.3629	1011111110000000	1
2023-10-10T00:00:19.760Z	0.3699	1011111110000000	1
2023-10-10T00:00:19.861Z	0.3635	1011111110000000	1
2023-10-10T00:00:19.958Z	0.3388	1011111110000000	1
2023-10-10T00:00:20.058Z	0.3849	1011111110000000	1
2023-10-10T00:00:20.159Z	0.4289	1011111110000000	1
2023-10-10T00:00:20.263Z	0.4604	1011111110000000	1
