Time	FREQUENCY [Hz]	DELTA_FREQUENCY [Hz]	VSPEC1D [m2 s]	THETA1 [degree]	STHETA1 [degree]	DQF [-]	FQF [-]
2023-10-10T00:00:00.000Z	0.000	0.005	0.000000	   NaN	  NaN	1010000000100000	1
2023-10-10T00:00:00.000Z	0.010	0.010	0.000017	   NaN	  NaN	1010000000100000	1
2023-10-10T00:00:00.000Z	0.020	0.010	0.000070	   NaN	  NaN	1010000000100000	1
2023-10-10T00:00:00.000Z	0.030	0.010	0.000214	207.94	61.87	1010000000100000	1
2023-10-10T00:00:00.000Z	0.040	0.010	0.000395	186.03	59.46	1010000000100000	1
2023-10-10T00:00:00.000Z	0.050	0.010	0.000352	210.98	62.87	1010000000100000	1
2023-10-10T00:00:00.000Z	0.060	0.010	0.000960	233.21	72.26	1010000000100000	1
2023-10-10T00:00:00.000Z	0.070	0.010	0.000969	165.55	64.93	1010000000100000	1
2023-10-10T00:00:00.000Z	0.080	0.010	0.000677	205.96	66.04	1010000000100000	1
2023-10-10T00:00:00.000Z	0.090	0.010	0.000942	225.17	66.42	1010000000100000	1
2023-10-10T00:00:00.000Z	0.100	0.010	0.001438	251.30	63.30	1010000000100000	1
2023-10-10T00:00:00.000Z	0.110	0.010	0.002016	172.01	78.75	1010000000100000	1
2023-10-10T00:00:00.000Z	0.120	0.010	0.002589	211.86	63.28	1010000000100000	1
2023-10-10T00:00:00.000Z	0.130	0.010	0.005075	128.66	62.19	1010000000100000	1
2023-10-10T00:00:00.000Z	0.140	0.010	0.004251	190.57	68.87	1010000000100000	1
2023-10-10T00:00:00.000Z	0.150	0.010	0.007869	 87.33	77.52	1010000000100000	1
2023-10-10T00:00:00.000Z	0.160	0.010	0.009529	 66.35	76.65	1010000000100000	1
2023-10-10T00:00:00.000Z	0.170	0.010	0.007846	339.62	74.72	1010000000100000	1
2023-10-10T00:00:00.000Z	0.180	0.010	0.006313	150.03	74.09	1010000000100000	1
2023-10-10T00:00:00.000Z	0.190	0.010	0.007681	138.58	65.21	1010000000100000	1
2023-10-10T00:00:00.000Z	0.200	0.010	0.005984	 99.11	69.52	1010000000100000	1
2023-10-10T00:00:00.000Z	0.210	0.010	0.005614	150.12	66.00	1010000000100000	1
2023-10-10T00:00:00.000Z	0.220	0.010	0.004425	103.15	73.83	1010000000100000	1
2023-10-10T00:00:00.000Z	0.230	0.010	0.007226	170.30	71.11	1010000000100000	1
2023-10-10T00:00:00.000Z	0.240	0.010	0.004913	107.16	64.58	1010000000100000	1
2023-10-10T00:00:00.000Z	0.250	0.010	0.006002	 98.45	69.26	1010000000100000	1
2023-10-10T00:00:00.000Z	0.260	0.010	0.005608	150.12	77.57	1010000000100000	1
2023-10-10T00:00:00.000Z	0.270	0.010	0.004764	248.07	66.72	1010000000100000	1
2023-10-10T00:00:00.000Z	0.280	0.010	0.002011	134.92	77.87	1010000000100000	1
