Time	heave [m]	DQF [-]	FQF [-]
2018-05-17T00:00:00.086Z	-0.2977	1011111110000000	1
2018-05-17T00:00:00.476Z	-0.4523	1011111110000000	1
2018-05-17T00:00:00.866Z	-0.3831	1011111110000000	1
2018-05-17T00:00:02.466Z	-0.3287	1011111110000000	1
2018-05-17T00:00:02.776Z	-0.2583	1011111110000000	1
2018-05-17T00:00:03.086Z	-0.2650	1011111110000000	1
2018-05-17T00:00:03.396Z	-0.2906	1011111110000000	1
2018-05-17T00:00:03.706Z	-0.3241	1011111110000000	1
2018-05-17T00:00:04.016Z	-0.2974	1011111110000000	1
2018-05-17T00:00:04.327Z	-0.2368	1011111110000000	1
2018-05-17T00:00:04.637Z	-0.3451	1011111110000000	1
2018-05-17T00:00:04.947Z	-0.3354	1011111110000000	1
2018-05-17T00:00:05.257Z	-0.5270	1011111110000000	1
2018-05-17T00:00:05.567Z	-0.4636	1011111110000000	1
2018-05-17T00:00:05.937Z	-0.2233	1011111110000000	1
2018-05-17T00:00:06.327Z	-0.1595	1011111110000000	1
2018-05-17T00:00:06.717Z	-0.1962	1011111110000000	1
2018-05-17T00:00:07.107Z	-0.2871	1011111110000000	1
2018-05-17T00:00:07.497Z	-0.4167	1011111110000000	1
2018-05-17T00:00:07.917Z	-0.4178	1011111110000000	1
2018-05-17T00:00:08.277Z	-0.3639	1011111110000000	1
2018-05-17T00:00:08.667Z	-0.2746	1011111110000000	1
2018-05-17T00:00:09.057Z	-0.2882	1011111110000000	1
2018-05-17T00:00:09.447Z	-0.5336	1011111110000000	1
2018-05-17T00:00:09.837Z	-0.4118	1011111110000000	1
2018-05-17T00:00:10.227Z	-0.3645	1011111110000000	1
2018-05-17T00:00:10.617Z	-0.0921	1011111110000000	1
2018-05-17T00:00:11.007Z	-0.3132	1011111110000000	1
2018-05-17T00:00:11.397Z	-0.3116	1011111110000000	1
2018-05-17T00:00:11.787Z	-0.3581	1011111110000000	1
2018-05-17T00:00:12.177Z	-0.3500	1011111110000000	1
2018-05-17T00:00:12.567Z	-0.2368	1011111110000000	1
2018-05-17T00:00:12.957Z	-0.3234	1011111110000000	1
2018-05-17T00:00:13.347Z	-0.3826	1011111110000000	1
2018-05-17T00:00:13.737Z	-0.3374	1011111110000000	1
2018-05-17T00:00:14.127Z	-0.4003	1011111110000000	1
2018-05-17T00:00:14.517Z	-0.3121	1011111110000000	1
2018-05-17T00:00:14.907Z	-0.3167	1011111110000000	1
2018-05-17T00:00:15.297Z	-0.3344	1011111110000000	1
2018-05-17T00:00:15.687Z	-0.3029	1011111110000000	1
2018-05-17T00:00:16.077Z	-0.2225	1011111110000000	1
2018-05-17T00:00:16.467Z	-0.3632	1011111110000000	1
2018-05-17T00:00:16.858Z	-0.4084	1011111110000000	1
2018-05-17T00:00:17.248Z	    NaN	1014444440000000	4
2018-05-17T00:00:17.638Z	-0.2788	1011111110000000	1
2018-05-17T00:00:19.508Z	-0.3633	1011111110000000	1
2018-05-17T00:00:19.818Z	-0.3397	1011111110000000	1
2018-05-17T00:00:20.128Z	-0.3171	1011111110000000	1
2018-05-17T00:00:20.438Z	-0.3091	1011111110000000	1
2018-05-17T00:00:20.748Z	-0.4087	1011111110000000	1
2018-05-17T00:00:21.058Z	-0.4385	1011111110000000	1
2018-05-17T00:00:21.368Z	-0.3956	1011111110000000	1
2018-05-17T00:00:21.678Z	-0.1922	1011111110000000	1
2018-05-17T00:00:21.988Z	-0.2272	1011111110000000	1
2018-05-17T00:00:22.298Z	-0.2536	1011111110000000	1
2018-05-17T00:00:22.608Z	-0.3709	1011111110000000	1
2018-05-17T00:00:22.918Z	-0.3418	1011111110000000	1
2018-05-17T00:00:23.228Z	-0.2586	1011111110000000	1
2018-05-17T00:00:23.608Z	-0.3016	1011111110000000	1
2018-05-17T00:00:23.918Z	-0.2690	1011111110000000	1
2018-05-17T00:00:24.268Z	-0.2367	1011111110000000	1
2018-05-17T00:00:24.658Z	-0.3379	1011111110000000	1
2018-05-17T00:00:25.048Z	-0.4029	1011111110000000	1
2018-05-17T00:00:25.438Z	-0.5433	1011111110000000	1
2018-05-17T00:00:25.828Z	-0.3624	1011111110000000	1
2018-05-17T00:00:26.218Z	-0.2537	1011111110000000	1
2018-05-17T00:00:26.608Z	-0.1939	1011111110000000	1
2018-05-17T00:00:26.998Z	-0.2462	1011111110000000	1
2018-05-17T00:00:27.408Z	-0.3932	1011111110000000	1
2018-05-17T00:00:27.778Z	-0.4721	1011111110000000	1
2018-05-17T00:00:28.168Z	-0.4582	1011111110000000	1
2018-05-17T00:00:28.558Z	-0.1381	1011111110000000	1
2018-05-17T00:00:28.948Z	-0.2306	1011111110000000	1
