Time	FREQUENCY [Hz]	DELTA_FREQUENCY [Hz]	VSPEC1D [m2 s]	DQF [-]	FQF [-]
2018-05-17T00:00:00.000Z	0.000	0.005	0.000000	1010000000100000	1
2018-05-17T00:00:00.000Z	0.010	0.010	0.000046	1010000000100000	1
2018-05-17T00:00:00.000Z	0.020	0.010	0.000143	1010000000100000	1
2018-05-17T00:00:00.000Z	0.030	0.010	0.000444	1010000000100000	1
2018-05-17T00:00:00.000Z	0.040	0.010	0.001269	1010000000100000	1
2018-05-17T00:00:00.000Z	0.050	0.010	0.000671	1010000000100000	1
2018-05-17T00:00:00.000Z	0.060	0.010	0.001735	1010000000100000	1
2018-05-17T00:00:00.000Z	0.070	0.010	0.000757	1010000000100000	1
2018-05-17T00:00:00.000Z	0.080	0.010	0.001251	1010000000100000	1
2018-05-17T00:00:00.000Z	0.090	0.010	0.001461	1010000000100000	1
2018-05-17T00:00:00.000Z	0.100	0.010	0.001798	1010000000100000	1
2018-05-17T00:00:00.000Z	0.110	0.010	0.001327	1010000000100000	1
2018-05-17T00:00:00.000Z	0.120	0.010	0.000793	1010000000100000	1
2018-05-17T00:00:00.000Z	0.130	0.010	0.001536	1010000000100000	1
2018-05-17T00:00:00.000Z	0.140	0.010	0.000967	1010000000100000	1
2018-05-17T00:00:00.000Z	0.150	0.010	0.001601	1010000000100000	1
2018-05-17T00:00:00.000Z	0.160	0.010	0.013705	1010000000100000	1
2018-05-17T00:00:00.000Z	0.170	0.010	0.014384	1010000000100000	1
2018-05-17T00:00:00.000Z	0.180	0.010	0.003763	1010000000100000	1
2018-05-17T00:00:00.000Z	0.190	0.010	0.003269	1010000000100000	1
2018-05-17T00:00:00.000Z	0.200	0.010	0.006885	1010000000100000	1
2018-05-17T00:00:00.000Z	0.210	0.010	0.003427	1010000000100000	1
2018-05-17T00:00:00.000Z	0.220	0.010	0.006404	1010000000100000	1
2018-05-17T00:00:00.000Z	0.230	0.010	0.009639	1010000000100000	1
2018-05-17T00:00:00.000Z	0.240	0.010	0.012543	1010000000100000	1
2018-05-17T00:00:00.000Z	0.250	0.010	0.006211	1010000000100000	1
2018-05-17T00:00:00.000Z	0.260	0.010	0.005944	1010000000100000	1
2018-05-17T00:00:00.000Z	0.270	0.010	0.007409	1010000000100000	1
2018-05-17T00:00:00.000Z	0.280	0.010	0.013758	1010000000100000	1
2018-05-17T00:00:00.000Z	0.290	0.010	0.013367	1010000000100000	1
2018-05-17T00:00:00.000Z	0.300	0.010	0.030660	1010000000100000	1
2018-05-17T00:00:00.000Z	0.310	0.010	0.035529	1010000000100000	1
2018-05-17T00:00:00.000Z	0.320	0.010	0.055215	1010000000100000	1
2018-05-17T00:00:00.000Z	0.330	0.010	0.024962	1010000000100000	1
