Time	FREQUENCY [Hz]	DELTA_FREQUENCY [Hz]	VSPEC1D [m2 s]	DQF [-]	FQF [-]
2024-11-16T00:01:00.000Z	0.190	0.010	2.151168	1010000000100000	1
2024-11-16T00:01:00.000Z	0.200	0.010	0.903692	1010000000100000	1
2024-11-16T00:01:00.000Z	0.210	0.010	0.608871	1010000000100000	1
2024-11-16T00:01:00.000Z	0.220	0.010	0.745889	1010000000100000	1
2024-11-16T00:01:00.000Z	0.230	0.010	0.570817	1010000000100000	1
2024-11-16T00:01:00.000Z	0.240	0.010	0.620752	1010000000100000	1
2024-11-16T00:01:00.000Z	0.250	0.010	0.620709	1010000000100000	1
2024-11-16T00:01:00.000Z	0.260	0.010	0.535797	1010000000100000	1
2024-11-16T00:01:00.000Z	0.270	0.010	0.380752	1010000000100000	1
2024-11-16T00:01:00.000Z	0.280	0.010	0.262589	1010000000100000	1
2024-11-16T00:01:00.000Z	0.290	0.010	0.385440	1010000000100000	1
2024-11-16T00:01:00.000Z	0.300	0.010	0.244104	1010000000100000	1
2024-11-16T00:01:00.000Z	0.310	0.010	0.139095	1010000000100000	1
2024-11-16T00:01:00.000Z	0.320	0.010	0.149306	1010000000100000	1
2024-11-16T00:01:00.000Z	0.330	0.010	0.285118	1010000000100000	1
2024-11-16T00:01:00.000Z	0.340	0.010	0.131230	1010000000100000	1
2024-11-16T00:01:00.000Z	0.350	0.010	0.101204	1010000000100000	1
2024-11-16T00:01:00.000Z	0.360	0.010	0.071230	1010000000100000	1
2024-11-16T00:01:00.000Z	0.370	0.010	0.073519	1010000000100000	1
2024-11-16T00:01:00.000Z	0.380	0.010	0.131954	1010000000100000	1
2024-11-16T00:01:00.000Z	0.390	0.010	0.158515	1010000000100000	1
2024-11-16T00:01:00.000Z	0.400	0.010	0.094108	1010000000100000	1
2024-11-16T00:01:00.000Z	0.410	0.010	0.071132	1010000000100000	1
2024-11-16T00:01:00.000Z	0.420	0.010	0.049291	1010000000100000	1
2024-11-16T00:01:00.000Z	0.430	0.010	0.037249	1010000000100000	1
2024-11-16T00:01:00.000Z	0.440	0.010	0.027901	1010000000100000	1
2024-11-16T00:01:00.000Z	0.450	0.010	0.032586	1010000000100000	1
2024-11-16T00:01:00.000Z	0.460	0.010	0.036303	1010000000100000	1
2024-11-16T00:01:00.000Z	0.470	0.010	0.033785	1010000000100000	1
2024-11-16T00:01:00.000Z	0.480	0.010	0.022544	1010000000100000	1
2024-11-16T00:01:00.000Z	0.490	0.010	0.035691	1010000000100000	1
2024-11-16T00:01:00.000Z	0.500	0.005	0.033035	1010000000100000	1
2024-11-16T00:02:00.000Z	0.000	0.005	0.000000	1010000000100000	1
2024-11-16T00:02:00.000Z	0.010	0.010	0.000467	1010000000100000	1
2024-11-16T00:02:00.000Z	0.020	0.010	0.001832	1010000000100000	1
2024-11-16T00:02:00.000Z	0.030	0.010	0.005519	1010000000100000	1
2024-11-16T00:02:00.000Z	0.040	0.010	0.015398	1010000000100000	1
2024-11-16T00:02:00.000Z	0.050	0.010	0.042024	1010000000100000	1
2024-11-16T00:02:00.000Z	0.060	0.010	0.398178	1010000000100000	1
2024-11-16T00:02:00.000Z	0.070	0.010	0.711423	1010000000100000	1
2024-11-16T00:02:00.000Z	0.080	0.010	0.453911	1010000000100000	1
2024-11-16T00:02:00.000Z	0.090	0.010	0.589443	1010000000100000	1
2024-11-16T00:02:00.000Z	0.100	0.010	0.354099	1010000000100000	1
2024-11-16T00:02:00.000Z	0.110	0.010	0.458365	1010000000100000	1
2024-11-16T00:02:00.000Z	0.120	0.010	1.020456	1010000000100000	1
2024-11-16T00:02:00.000Z	0.130	0.010	1.361501	1010000000100000	1
2024-11-16T00:02:00.000Z	0.140	0.010	6.123731	1010000000100000	1
2024-11-16T00:02:00.000Z	0.150	0.010	8.942487	1010000000100000	1
2024-11-16T00:02:00.000Z	0.160	0.010	2.844278	1010000000100000	1
2024-11-16T00:02:00.000Z	0.170	0.010	3.025833	1010000000100000	1
2024-11-16T00:02:00.000Z	0.180	0.010	3.018382	1010000000100000	1
2024-11-16T00:02:00.000Z	0.190	0.010	2.080381	1010000000100000	1
2024-11-16T00:02:00.000Z	0.200	0.010	1.020599	1010000000100000	1
2024-11-16T00:02:00.000Z	0.210	0.010	1.155150	1010000000100000	1
2024-11-16T00:02:00.000Z	0.220	0.010	0.699185	1010000000100000	1
2024-11-16T00:02:00.000Z	0.230	0.010	0.443391	1010000000100000	1
2024-11-16T00:02:00.000Z	0.240	0.010	0.706432	1010000000100000	1
2024-11-16T00:02:00.000Z	0.250	0.010	0.506440	1010000000100000	1
2024-11-16T00:02:00.000Z	0.260	0.010	0.478707	1010000000100000	1
2024-11-16T00:02:00.000Z	0.270	0.010	0.413079	1010000000100000	1
2024-11-16T00:02:00.000Z	0.280	0.010	0.322067	1010000000100000	1
2024-11-16T00:02:00.000Z	0.290	0.010	0.401927	1010000000100000	1
2024-11-16T00:02:00.000Z	0.300	0.010	0.231999	1010000000100000	1
2024-11-16T00:02:00.000Z	0.310	0.010	0.163671	1010000000100000	1
2024-11-16T00:02:00.000Z	0.320	0.010	0.146023	1010000000100000	1
2024-11-16T00:02:00.000Z	0.330	0.010	0.186987	1010000000100000	1
2024-11-16T00:02:00.000Z	0.340	0.010	0.129663	1010000000100000	1
2024-11-16T00:02:00.000Z	0.350	0.010	0.063751	1010000000100000	1
2024-11-16T00:02:00.000Z	0.360	0.010	0.063935	1010000000100000	1
2024-11-16T00:02:00.000Z	0.370	0.010	0.063686	1010000000100000	1
2024-11-16T00:02:00.000Z	0.380	0.010	0.124632	1010000000100000	1
2024-11-16T00:02:00.000Z	0.390	0.010	0.121316	1010000000100000	1
2024-11-16T00:02:00.000Z	0.400	0.010	0.090997	1010000000100000	1
2024-11-16T00:02:00.000Z	0.410	0.010	0.069607	1010000000100000	1
2024-11-16T00:02:00.000Z	0.420	0.010	0.051509	1010000000100000	1
2024-11-16T00:02:00.000Z	0.430	0.010	0.039330	1010000000100000	1
2024-11-16T00:02:00.000Z	0.440	0.010	0.038196	1010000000100000	1
2024-11-16T00:02:00.000Z	0.450	0.010	0.027875	1010000000100000	1
2024-11-16T00:02:00.000Z	0.460	0.010	0.032724	1010000000100000	1
2024-11-16T00:02:00.000Z	0.470	0.010	0.026715	1010000000100000	1
2024-11-16T00:02:00.000Z	0.480	0.010	0.027523	1010000000100000	1
2024-11-16T00:02:00.000Z	0.490	0.010	0.030485	1010000000100000	1
2024-11-16T00:02:00.000Z	0.500	0.005	0.023622	1010000000100000	1
2024-11-16T00:03:00.000Z	0.000	0.005	0.000000	1010000000100000	1
2024-11-16T00:03:00.000Z	0.010	0.010	0.000747	1010000000100000	1
2024-11-16T00:03:00.000Z	0.020	0.010	0.001955	1010000000100000	1
2024-11-16T00:03:00.000Z	0.030	0.010	0.006579	1010000000100000	1
