Time	FREQUENCY [Hz]	DELTA_FREQUENCY [Hz]	VSPEC1D [m2 s]	THETA1 [degree]	STHETA1 [degree]	VSPEC1D_VEPK [-]	Skewf [-]	Kurtf [-]	DQF [-]	FQF [-]
2020-09-01T00:15:00.000Z	0.025	0.0050	0.000024	313.6	68.4	6.3150E-05	 0.29	1.57	1010000000100000	1
2020-09-01T00:15:00.000Z	0.030	0.0050	0.000077	279.8	62.4	2.0347E-04	 0.18	2.16	1010000000100000	1
2020-09-01T00:15:00.000Z	0.035	0.0050	0.000839	298.1	69.2	2.2205E-03	 0.96	1.95	1010000000100000	1
2020-09-01T00:15:00.000Z	0.040	0.0050	0.002305	  8.4	60.4	6.0968E-03	-0.03	2.75	1010000000100000	1
2020-09-01T00:15:00.000Z	0.045	0.0050	0.001935	 28.1	54.7	5.1180E-03	-3.83	3.53	1010000000100000	1
2020-09-01T00:15:00.000Z	0.050	0.0050	0.001657	  5.6	63.9	4.3831E-03	-1.13	2.24	1010000000100000	1
2020-09-01T00:15:00.000Z	0.055	0.0050	0.000827	  7.0	66.0	2.1875E-03	-1.89	2.12	1010000000100000	1
2020-09-01T00:15:00.000Z	0.060	0.0050	0.000694	 26.7	53.6	1.8363E-03	-1.14	2.40	1010000000100000	1
2020-09-01T00:15:00.000Z	0.065	0.0050	0.000423	104.1	74.4	1.1194E-03	 0.44	1.56	1010000000100000	1
2020-09-01T00:15:00.000Z	0.070	0.0050	0.000791	 38.0	48.1	2.0912E-03	 0.03	4.35	1010000000100000	1
2020-09-01T00:15:00.000Z	0.075	0.0050	0.000571	 28.1	57.7	1.5110E-03	 0.38	3.01	1010000000100000	1
2020-09-01T00:15:00.000Z	0.080	0.0050	0.000560	 19.7	68.9	1.4811E-03	 2.65	2.21	1010000000100000	1
2020-09-01T00:15:00.000Z	0.085	0.0050	0.000560	 18.3	34.9	1.4811E-03	 0.38	7.00	1010000000100000	1
2020-09-01T00:15:00.000Z	0.090	0.0050	0.000484	 29.5	51.5	1.2811E-03	-0.69	3.82	1010000000100000	1
2020-09-01T00:15:00.000Z	0.095	0.0050	0.000320	 12.7	52.9	8.4599E-04	-0.67	2.75	1010000000100000	1
2020-09-01T00:15:00.000Z	0.100	0.0075	0.000413	334.7	66.2	1.0917E-03	-1.61	2.06	1010000000100000	1
2020-09-01T00:15:00.000Z	0.110	0.0100	0.001592	 43.6	58.9	4.2112E-03	 1.60	2.76	1010000000100000	1
2020-09-01T00:15:00.000Z	0.120	0.0100	0.002004	 98.4	65.8	5.3002E-03	 0.15	1.76	1010000000100000	1
2020-09-01T00:15:00.000Z	0.130	0.0100	0.002339	 78.8	67.7	6.1888E-03	 0.76	1.63	1010000000100000	1
2020-09-01T00:15:00.000Z	0.140	0.0100	0.006049	 75.9	48.1	1.6003E-02	 1.23	3.24	1010000000100000	1
2020-09-01T00:15:00.000Z	0.150	0.0100	0.007576	 63.3	47.6	2.0040E-02	 0.99	2.54	1010000000100000	1
2020-09-01T00:15:00.000Z	0.160	0.0100	0.018727	 64.7	31.4	4.9540E-02	 3.01	7.42	1010000000100000	1
2020-09-01T00:15:00.000Z	0.170	0.0100	0.018727	 60.5	33.3	4.9540E-02	 0.73	6.23	1010000000100000	1
2020-09-01T00:15:00.000Z	0.180	0.0100	0.021114	 56.3	35.8	5.5854E-02	-0.43	6.07	1010000000100000	1
2020-09-01T00:15:00.000Z	0.190	0.0100	0.035693	 59.1	40.2	9.4421E-02	-1.75	5.81	1010000000100000	1
2020-09-01T00:15:00.000Z	0.200	0.0100	0.028218	 59.1	48.0	7.4647E-02	-2.40	3.80	1010000000100000	1
2020-09-01T00:15:00.000Z	0.210	0.0100	0.049400	 52.0	40.1	1.3068E-01	-2.85	5.27	1010000000100000	1
2020-09-01T00:15:00.000Z	0.220	0.0100	0.046757	 59.1	49.6	1.2369E-01	-5.28	4.02	1010000000100000	1
2020-09-01T00:15:00.000Z	0.230	0.0100	0.040044	  8.4	69.2	1.0593E-01	-0.24	1.25	1010000000100000	1
2020-09-01T00:15:00.000Z	0.240	0.0100	0.079040	354.4	64.3	2.0909E-01	 0.45	1.47	1010000000100000	1
2020-09-01T00:15:00.000Z	0.250	0.0100	0.095102	357.2	54.3	2.5158E-01	 0.43	1.91	1010000000100000	1
2020-09-01T00:15:00.000Z	0.260	0.0100	0.162378	345.9	53.6	4.2955E-01	 1.43	2.26	1010000000100000	1
2020-09-01T00:15:00.000Z	0.270	0.0100	0.203348	  0.0	51.5	5.3793E-01	 0.68	2.11	1010000000100000	1
2020-09-01T00:15:00.000Z	0.280	0.0100	0.249622	  1.4	41.6	6.6034E-01	 0.62	3.02	1010000000100000	1
2020-09-01T00:15:00.000Z	0.290	0.0100	0.266391	  7.0	38.5	7.0470E-01	-0.55	4.26	1010000000100000	1
2020-09-01T00:15:00.000Z	0.300	0.0100	0.322130	 21.1	37.3	8.5215E-01	-0.83	3.48	1010000000100000	1
2020-09-01T00:15:00.000Z	0.310	0.0100	0.265060	 21.1	38.4	7.0118E-01	-0.44	4.55	1010000000100000	1
2020-09-01T00:15:00.000Z	0.320	0.0100	0.378020	 19.7	25.5	1.0000E+00	-0.62	9.54	1010000000100000	1
