Time	heave [m]	north [m]	west [m]	status [-]	despiked [m]	DQF [-]	FQF [-]
2020-09-01T00:00:46.855Z	-0.0400	-0.0500	 0.0800	0	-0.0400	1011111111000000	1
2020-09-01T00:00:47.636Z	 0.1400	-0.4300	 0.3100	0	 0.1400	1011111111000000	1
2020-09-01T00:00:48.416Z	-0.0800	-0.4100	 0.1800	0	-0.0800	1011111111000000	1
2020-09-01T00:00:49.197Z	-0.0100	-0.1400	 0.1500	0	-0.0100	1011111111000000	1
2020-09-01T00:00:49.978Z	 0.1400	-0.2100	 0.1900	0	 0.1400	1011111111000000	1
2020-09-01T00:00:50.759Z	 0.0400	-0.3900	 0.3200	0	 0.0400	1011111111000000	1
2020-09-01T00:00:51.540Z	-0.2600	-0.1500	 0.3100	0	-0.2600	1011111111000000	1
2020-09-01T00:00:52.321Z	-0.0100	 0.0400	 0.1000	0	-0.0100	1011111111000000	1
2020-09-01T00:00:53.102Z	 0.2400	-0.0800	 0.2800	0	 0.2400	1011111111000000	1
2020-09-01T00:00:53.883Z	 0.1300	-0.2700	 0.4700	0	 0.1300	1011111111000000	1
2020-09-01T00:00:54.664Z	-0.1800	-0.2300	 0.2700	0	-0.1800	1011111111000000	1
2020-09-01T00:00:55.445Z	-0.1400	 0.0300	 0.0800	0	-0.1400	1011111111000000	1
2020-09-01T00:00:56.226Z	 0.0700	 0.0900	 0.0400	0	 0.0700	1011111111000000	1
2020-09-01T00:00:57.007Z	 0.1300	-0.0600	 0.1000	0	 0.1300	1011111111000000	1
2020-09-01T00:00:57.787Z	-0.2300	-0.0500	 0.0500	0	-0.2300	1011111111000000	1
2020-09-01T00:00:58.568Z	-0.0600	 0.2600	-0.2200	0	-0.0600	1011111111000000	1
2020-09-01T00:00:59.349Z	 0.2800	 0.2700	-0.1400	0	 0.2800	1011111111000000	1
2020-09-01T00:01:00.130Z	 0.1500	 0.0500	-0.0900	0	 0.1500	1011111111000000	1
2020-09-01T00:01:00.911Z	-0.1800	 0.1500	-0.1400	0	-0.1800	1011111111000000	1
2020-09-01T00:01:01.692Z	-0.2000	 0.4800	-0.2100	0	-0.2000	1011111111000000	1
2020-09-01T00:01:02.473Z	 0.0500	 0.3900	-0.3500	0	 0.0500	1011111111000000	1
2020-09-01T00:01:03.254Z	-0.2000	 0.3700	-0.5000	0	-0.2000	1011111111000000	1
2020-09-01T00:01:04.035Z	 0.1200	 0.4800	-0.4200	0	 0.1200	1011111111000000	1
2020-09-01T00:01:04.816Z	 0.0500	 0.5000	-0.4400	0	 0.0500	1011111111000000	1
2020-09-01T00:01:05.597Z	 0.2200	 0.3900	-0.3600	0	 0.2200	1011111111000000	1
2020-09-01T00:01:06.377Z	-0.0300	-0.0600	-0.1700	0	-0.0300	1011111111000000	1
2020-09-01T00:01:07.158Z	-0.4600	 0.1600	-0.2500	0	-0.4600	1011111111000000	1
2020-09-01T00:01:07.939Z	 0.3500	 0.2900	-0.0500	0	 0.3500	1011111111000000	1
2020-09-01T00:01:08.720Z	 0.4500	-0.5300	 0.1400	0	 0.4500	1011111111000000	1
2020-09-01T00:01:09.501Z	-0.4000	-0.7600	 0.2300	0	-0.4000	1011111111000000	1
2020-09-01T00:01:10.282Z	-0.4000	-0.2300	 0.1300	0	-0.4000	1011111111000000	1
2020-09-01T00:01:11.063Z	 0.3800	-0.2800	 0.2300	0	 0.3800	1011111111000000	1
2020-09-01T00:01:11.844Z	 0.4100	-0.7800	 0.4200	0	 0.4100	1011111111000000	1
2020-09-01T00:01:12.625Z	-0.1500	-0.8200	 0.3400	0	-0.1500	1011111111000000	1
2020-09-01T00:01:13.406Z	-0.4100	-0.2600	 0.3600	0	-0.4100	1011111111000000	1
2020-09-01T00:01:14.187Z	 0.0600	-0.0400	 0.4200	0	 0.0600	1011111111000000	1
2020-09-01T00:01:14.967Z	 0.3100	-0.3200	 0.2100	0	 0.3100	1011111111000000	1
2020-09-01T00:01:15.748Z	 0.0400	-0.3300	 0.0800	0	 0.0400	1011111111000000	1
2020-09-01T00:01:16.529Z	-0.1700	-0.0200	 0.1700	0	-0.1700	1011111111000000	1
2020-09-01T00:01:17.310Z	-0.1800	 0.2900	 0.1500	0	-0.1800	1011111111000000	1
2020-09-01T00:01:18.091Z	-0.0500	 0.3700	 0.0100	0	-0.0500	1011111111000000	1
2020-09-01T00:01:18.872Z	 0.1400	 0.0700	-0.1300	0	 0.1400	1011111111000000	1
2020-09-01T00:01:19.653Z	 0.0000	 0.1000	-0.0800	0	 0.0000	1011111111000000	1
2020-09-01T00:01:20.434Z	 0.0800	 0.2400	 0.0200	0	 0.0800	1011111111000000	1
2020-09-01T00:01:21.215Z	-0.0600	 0.2700	-0.1100	0	-0.0600	1011111111000000	1
2020-09-01T00:01:21.996Z	-0.0900	 0.3700	-0.2700	0	-0.0900	1011111111000000	1
2020-09-01T00:01:22.777Z	-0.1200	 0.2500	-0.1500	0	-0.1200	1011111111000000	1
2020-09-01T00:01:23.557Z	-0.0800	 0.3000	-0.2500	0	-0.0800	1011111111000000	1
2020-09-01T00:01:24.338Z	 0.2300	 0.3300	-0.3800	0	 0.2300	1011111111000000	1
2020-09-01T00:01:25.119Z	 0.2600	 0.2400	-0.0500	0	 0.2600	1011111111000000	1
2020-09-01T00:01:25.900Z	-0.1200	 0.0200	 0.0400	0	-0.1200	1011111111000000	1
2020-09-01T00:01:26.681Z	-0.4600	 0.1000	-0.1400	0	-0.4600	1011111111000000	1
2020-09-01T00:01:27.462Z	 0.0300	 0.2700	-0.1700	0	 0.0300	1011111111000000	1
2020-09-01T00:01:28.243Z	 0.3200	 0.1600	-0.1100	0	 0.3200	1011111111000000	1
2020-09-01T00:01:29.024Z	 0.2100	-0.1700	 0.0300	0	 0.2100	1011111111000000	1
2020-09-01T00:01:29.805Z	-0.2400	-0.2000	 0.0600	0	-0.2400	1011111111000000	1
2020-09-01T00:01:30.586Z	-0.1500	 0.0100	 0.1800	0	-0.1500	1011111111000000	1
2020-09-01T00:01:31.367Z	 0.1100	 0.0200	 0.2500	0	 0.1100	1011111111000000	1
2020-09-01T00:01:32.147Z	 0.3500	-0.2300	 0.1300	0	 0.3500	1011111111000000	1
