#parameter:Czz10
#unit:cm2/Hz
#date:20180519
#sensor:radcan
#Time in ms since start of day
0,0.00,0.16,0.59,1.93,4.49,6.72,6.41,7.76,11.31,31.25,21.31,57.94,83.96,224.38,355.82,360.36,378.12,364.41,485.99,680.96,386.84,207.80,220.66,184.08,195.92,172.12,169.60,270.82,199.18,301.89,255.02,408.37,359.78,346.37,296.28,323.19,178.73,210.47,142.12,159.66,157.64,96.79,73.41,139.18,79.88,55.43,73.94,98.95,76.99,84.34,32.11
60000,0.00,0.12,0.61,1.82,3.94,7.12,6.53,6.53,6.60,28.63,22.36,41.70,81.97,160.36,470.96,275.83,476.77,281.46,428.39,629.56,225.25,189.38,219.97,191.21,205.38,142.39,198.90,200.42,205.92,244.08,290.02,316.99,295.94,306.89,262.08,457.38,166.16,192.25,173.50,184.12,132.05,88.57,104.03,85.88,56.07,68.02,77.99,132.30,84.46,87.49,39.03
120000,0.00,0.11,0.91,1.97,4.90,5.52,6.99,9.26,6.34,36.40,23.09,44.80,64.87,154.95,458.97,510.89,405.53,371.08,603.23,786.45,436.70,168.57,196.72,209.01,155.86,196.96,191.23,226.32,318.20,167.52,288.04,307.71,252.39,313.45,336.95,335.45,227.92,197.27,154.73,138.99,137.21,107.19,69.56,117.56,68.75,65.04,73.25,105.42,46.73,58.21,36.98
180000,0.00,0.10,0.67,2.47,5.05,7.34,5.94,6.99,8.80,33.49,22.03,40.67,88.99,222.48,356.16,412.35,447.36,418.31,532.99,752.62,403.06,209.21,240.60,195.91,231.75,191.89,126.66,268.32,288.10,286.73,237.92,361.96,309.82,367.24,277.43,348.41,172.46,172.03,203.53,142.04,146.37,106.55,84.27,108.32,70.78,70.45,73.26,88.78,69.95,89.69,30.50
240000,0.00,0.07,0.71,2.14,4.76,7.34,6.48,4.19,6.66,30.76,34.32,41.76,92.66,162.37,407.99,323.09,440.96,384.13,436.87,482.01,375.24,208.30,232.45,214.54,237.75,149.58,222.52,257.65,184.65,393.42,275.81,387.31,283.45,333.84,270.48,403.02,196.59,237.27,173.00,157.72,125.75,114.04,67.93,79.48,69.31,71.48,40.25,131.02,97.00,79.80,35.12
300000,0.00,0.12,0.77,1.90,4.60,5.35,5.60,3.81,5.67,22.23,57.61,48.84,111.86,138.73,530.92,385.48,465.23,268.23,598.66,569.86,413.99,236.95,276.66,201.81,154.33,164.30,201.81,267.77,344.63,209.00,377.13,380.58,335.54,290.89,199.01,397.80,213.89,234.48,254.53,133.17,127.84,125.76,75.13,123.07,72.04,79.10,76.56,94.92,90.60,56.54,38.02
360000,0.00,0.15,0.60,2.05,2.73,4.65,5.96,7.97,9.39,28.17,65.77,60.57,102.05,171.97,371.74,368.64,546.81,440.88,732.17,817.93,376.60,176.55,228.36,213.84,184.08,164.19,235.73,244.06,224.96,313.46,287.09,351.75,358.62,280.90,193.67,425.84,218.60,257.90,206.68,140.97,172.21,99.77,65.08,115.80,93.58,97.56,67.70,114.27,82.93,91.90,35.53
420000,0.00,0.12,0.82,1.64,3.58,5.96,6.28,7.81,8.14,25.30,79.86,50.99,106.68,207.65,437.04,420.68,453.33,536.39,659.97,677.77,563.71,199.11,270.03,211.13,203.35,172.59,209.96,237.13,209.85,261.28,244.37,473.67,272.41,310.23,254.81,312.10,204.68,212.55,237.18,125.00,148.98,134.89,72.97,82.62,98.39,88.71,53.71,99.34,68.13,87.75,35.16
480000,0.00,0.09,0.73,1.42,2.95,4.62,3.83,4.19,6.25,11.14,93.94,57.38,107.06,180.14,526.72,298.19,587.93,326.24,674.18,511.96,376.79,259.29,284.53,167.76,135.42,115.44,211.35,175.71,209.81,225.67,314.41,313.48,305.77,327.07,232.17,317.37,215.65,215.18,301.57,164.59,114.88,123.59,84.30,101.28,82.46,84.49,81.56,96.83,104.69,68.98,37.74
540000,0.00,0.18,0.89,1.55,3.11,3.07,5.38,4.67,7.36,14.22,99.65,67.41,92.05,197.78,491.07,296.33,451.51,299.80,664.66,781.09,376.31,233.99,203.26,210.12,195.62,110.11,203.67,211.21,173.64,259.35,363.24,298.80,316.74,338.80,266.30,197.93,182.29,248.10,240.62,152.16,143.67,126.63,87.08,98.44,81.55,84.67,67.68,101.73,88.40,72.16,33.91
