#parameter:Th010
#unit:deg
#date:20241116
#sensor:direction
#Time in ms since start of day
0,NaN,NaN,NaN,102.40,29.73,106.93,25.07,354.32,350.15,339.81,335.52,347.53,310.79,292.99,275.38,268.36,274.59,267.25,258.72,258.51,246.31,262.92,258.37,261.40,259.03,245.97,252.65,248.41,250.85,249.17,246.78,227.98,237.69,239.94,233.85,241.06,232.33,247.69,231.42,210.30,241.79,223.52,216.13,199.12,164.19,232.58,139.03,68.49,119.08,103.05,144.22
60000,NaN,NaN,NaN,176.39,37.86,25.91,70.60,348.85,346.99,335.70,339.10,336.39,308.44,289.40,278.65,274.58,270.09,262.35,255.02,260.87,247.98,260.47,256.58,261.43,249.45,247.31,254.96,250.52,250.18,260.31,240.84,234.69,224.80,238.33,225.03,234.01,254.75,242.84,244.65,196.30,241.00,197.18,206.39,177.81,323.73,254.25,318.53,64.10,99.30,102.15,117.68
120000,NaN,NaN,NaN,205.80,351.94,318.30,13.68,352.48,349.89,346.40,333.67,330.02,311.70,287.47,283.63,272.86,268.42,258.76,266.15,255.86,242.36,253.11,265.22,263.52,252.02,253.54,260.52,248.06,253.00,253.85,255.85,230.18,237.78,240.19,222.12,231.93,256.05,247.19,235.80,213.69,215.94,242.41,193.21,182.04,112.52,153.24,16.08,73.82,121.40,117.82,143.61
180000,NaN,NaN,NaN,199.08,49.73,352.34,325.39,343.67,344.44,342.59,333.85,338.12,311.08,296.80,277.31,275.93,272.06,264.13,264.69,260.40,245.37,261.50,266.11,272.06,253.99,243.58,263.42,248.36,256.99,246.97,247.31,224.19,230.07,239.80,226.28,235.09,247.52,237.29,236.99,213.47,250.11,209.69,206.44,201.31,123.81,119.80,100.21,5.80,138.08,109.48,145.44
240000,NaN,NaN,NaN,113.10,190.19,357.67,353.15,348.75,340.81,336.12,342.10,333.27,314.02,294.60,278.04,275.94,275.22,263.96,262.10,258.40,257.46,264.51,265.22,260.77,246.06,246.09,256.60,255.44,249.94,255.00,247.44,229.38,235.96,232.66,230.96,232.11,240.57,241.74,236.48,218.70,242.81,186.97,214.74,198.93,68.67,168.94,58.50,50.13,88.24,107.84,115.37
300000,NaN,NaN,NaN,7.20,358.80,291.87,354.54,358.83,341.89,4.09,333.69,330.32,307.80,284.15,281.89,278.47,276.11,264.44,271.03,260.95,253.98,259.96,261.97,268.98,244.30,246.25,253.32,249.55,253.49,255.68,247.92,239.40,231.14,237.20,230.12,228.20,264.16,237.32,246.00,219.72,212.26,218.33,222.08,169.62,51.20,285.52,359.93,54.10,99.17,76.39,126.13
360000,NaN,NaN,NaN,345.12,133.71,298.58,351.64,349.80,343.92,340.37,336.03,329.26,312.65,303.11,278.81,274.59,275.90,260.33,268.17,268.05,252.00,267.10,262.85,267.80,248.78,237.33,254.03,241.31,252.60,253.42,241.87,230.79,225.45,242.38,236.96,235.24,249.92,238.43,235.89,207.56,229.75,178.75,225.05,215.56,126.86,65.14,74.61,46.40,140.98,65.47,134.40
420000,NaN,NaN,NaN,228.91,89.61,323.01,356.76,352.02,340.88,345.81,343.70,334.93,316.11,291.52,275.63,280.11,276.41,265.07,266.63,262.89,253.02,269.57,268.88,255.37,249.63,239.23,250.74,239.12,255.03,250.48,246.30,241.75,222.11,244.25,223.50,243.05,249.38,256.03,235.15,201.30,228.13,188.04,238.92,196.00,168.57,352.35,100.46,36.08,103.20,95.23,158.19
480000,NaN,NaN,NaN,227.42,53.86,51.61,14.10,344.97,338.69,351.19,339.14,325.82,311.95,291.68,277.30,282.01,282.60,261.96,262.98,266.03,264.00,268.72,264.28,256.87,247.46,242.48,248.14,248.75,249.15,249.02,247.42,242.40,230.41,246.44,225.85,245.80,258.40,251.11,250.02,211.22,201.06,200.47,208.69,274.65,235.64,262.29,75.44,112.03,70.21,82.02,125.88
540000,NaN,NaN,NaN,235.28,59.18,271.04,348.27,347.30,347.70,348.40,331.92,320.20,305.77,298.70,279.91,282.93,277.42,268.23,271.59,265.06,265.28,264.94,267.01,256.99,248.29,244.66,250.61,251.16,252.28,250.11,243.64,239.41,231.53,251.99,219.87,255.89,264.53,255.81,252.35,220.46,225.17,194.10,189.79,192.15,189.64,38.03,78.48,59.66,121.83,89.61,118.89
600000,NaN,NaN,NaN,171.22,2.84,304.62,327.15,342.04,341.34,346.97,327.90,328.46,311.54,299.70,278.08,282.62,275.14,266.37,269.38,263.58,259.12,263.10,268.07,256.41,254.90,249.80,256.06,252.60,248.00,253.30,254.90,223.81,235.65,255.97,222.47,246.77,240.38,241.68,240.08,219.89,239.61,175.63,204.68,214.89,153.50,200.16,63.22,78.16,120.38,102.16,127.16
660000,NaN,NaN,NaN,162.59,317.98,284.91,335.66,336.83,332.81,343.08,347.79,329.23,316.75,286.86,277.24,289.58,275.85,264.96,266.48,262.63,258.46,273.26,268.25,257.30,248.22,244.40,260.77,259.18,245.06,250.22,245.13,246.96,240.31,258.02,228.59,232.61,220.39,236.48,256.66,197.27,227.62,182.85,215.03,200.90,294.17,225.32,77.34,69.34,84.39,84.10,120.55
720000,NaN,NaN,NaN,294.52,51.97,322.71,331.57,344.73,336.56,353.75,328.51,325.29,314.05,290.39,280.02,280.79,282.32,263.25,272.99,259.26,258.30,264.28,269.39,256.87,255.46,244.90,260.42,260.19,250.97,256.83,243.91,255.49,232.96,249.20,224.21,228.43,235.33,246.38,236.82,224.57,198.51,189.36,208.05,177.11,323.01,339.72,64.54,72.78,90.31,46.96,68.48
780000,NaN,NaN,NaN,100.23,123.50,307.32,357.35,334.25,336.77,340.72,336.89,325.92,307.80,300.33,274.25,281.92,272.61,269.01,267.62,268.33,264.25,267.69,271.54,259.53,255.29,242.39,255.85,252.25,255.57,247.38,240.20,235.29,235.09,263.38,227.78,229.40,228.06,245.25,235.06,247.47,225.68,178.08,241.75,175.09,187.71,35.76,96.56,51.87,141.87,46.00,118.05
840000,NaN,NaN,NaN,256.68,125.07,327.83,349.24,338.21,335.31,331.07,321.96,324.43,311.01,291.97,277.09,285.95,271.82,270.17,266.90,262.12,261.04,274.21,266.74,257.65,253.84,244.23,252.35,261.57,254.08,246.52,239.41,233.98,234.83,255.28,238.64,246.24,244.20,243.32,260.97,218.03,246.39,178.18,217.89,205.91,158.70,341.23,99.39,90.82,108.47,61.76,60.70
900000,NaN,NaN,NaN,65.67,131.74,68.73,339.21,348.09,335.59,354.80,326.50,322.66,310.58,289.94,277.59,282.02,273.59,262.98,269.07,263.01,262.94,267.89,268.95,260.74,249.37,246.98,255.73,261.70,257.90,243.80,236.59,253.04,237.46,261.34,226.55,232.68,245.58,249.74,263.91,219.22,219.23,184.10,198.87,194.53,197.26,270.01,112.54,86.21,110.49,94.47,64.96
960000,NaN,NaN,NaN,297.12,112.49,276.95,348.27,338.05,332.64,327.09,332.49,322.11,313.03,296.42,282.07,284.80,277.23,263.65,264.39,266.85,267.14,273.15,268.03,262.41,253.62,242.57,254.26,257.65,257.08,251.96,235.31,251.58,247.19,262.47,218.08,238.07,245.91,259.78,244.32,246.27,215.94,180.46,231.95,176.53,166.53,52.78,70.58,53.89,120.96,46.68,112.41
1020000,NaN,NaN,NaN,304.58,128.90,309.30,340.21,338.68,341.10,327.23,335.06,324.32,304.62,289.47,282.40,286.54,273.46,264.12,265.99,272.56,265.77,271.95,267.51,258.38,254.52,242.73,250.59,257.85,258.59,255.08,256.32,240.98,242.56,257.71,216.45,218.23,254.68,247.48,236.96,238.64,209.83,186.15,183.61,192.24,121.58,34.70,90.31,68.80,63.27,74.71,73.92
1080000,NaN,NaN,NaN,244.02,216.72,358.55,340.67,343.75,325.59,323.67,328.29,322.80,310.28,289.73,280.96,288.79,272.54,262.25,267.05,268.98,264.87,274.53,267.06,259.96,248.98,241.40,245.85,257.22,254.16,251.13,245.62,251.88,249.04,258.97,227.03,243.23,235.06,239.17,256.62,230.31,227.53,174.32,171.62,219.01,181.33,122.05,120.71,72.12,63.99,60.40,47.41
1140000,NaN,NaN,NaN,275.55,133.30,316.08,338.32,342.83,334.66,331.19,326.96,330.64,305.72,301.78,278.33,286.25,277.52,263.32,264.07,263.89,263.30,268.73,265.72,260.86,258.82,239.37,251.03,260.37,250.68,251.10,257.05,261.01,243.80,256.97,222.30,236.18,245.56,253.46,229.45,243.24,208.32,184.39,214.33,212.81,180.34,26.79,115.83,97.16,84.65,47.79,75.24
1200000,NaN,NaN,NaN,177.81,177.91,309.53,340.57,332.19,335.22,319.73,331.30,328.58,299.39,299.30,281.25,287.65,273.91,258.93,262.46,275.15,276.04,266.57,268.03,262.58,264.74,235.55,243.01,261.81,252.70,259.99,261.45,247.29,256.00,258.75,221.73,230.04,237.48,240.47,238.80,258.29,222.63,171.78,198.78,192.60,169.03,95.13,80.57,113.14,118.80,93.64,4.31
1260000,NaN,NaN,NaN,189.59,235.37,0.20,348.24,346.24,326.76,315.41,332.11,332.71,316.97,285.10,280.24,287.27,274.99,267.33,261.40,270.93,268.00,273.49,269.19,256.69,260.74,237.04,248.38,264.96,250.18,253.55,261.51,237.26,247.31,267.69,234.34,227.98,245.33,223.91,246.87,232.83,244.97,190.39,214.40,196.95,171.63,153.09,93.40,98.36,117.24,13.01,91.11
